standing,discipline,min_outdoors,min_zoom,undergrad,masters,phd,civil,mechanical,electrical,happiness
undergrad,mechanical,135,305,1,0,0,0,1,0,51.2052870720105
undergrad,civil,271,314,1,0,0,1,0,0,57.481743777454014
undergrad,electrical,238,213,1,0,0,0,0,1,53.69759543757603
undergrad,mechanical,195,342,1,0,0,0,1,0,61.757677639406324
undergrad,civil,262,319,1,0,0,1,0,0,24.253882267014987
undergrad,electrical,254,298,1,0,0,0,0,1,50.546740278714054
undergrad,mechanical,140,305,1,0,0,0,1,0,51.995187910705866
undergrad,civil,62,38,1,0,0,1,0,0,53.61312216656259
undergrad,electrical,171,359,1,0,0,0,0,1,16.520069588785468
undergrad,mechanical,128,341,1,0,0,0,1,0,34.13592740724566
undergrad,civil,143,308,1,0,0,1,0,0,46.45121975579681
undergrad,electrical,282,71,1,0,0,0,0,1,56.947213013301216
undergrad,mechanical,208,201,1,0,0,0,1,0,45.036921507538786
undergrad,civil,63,3,1,0,0,1,0,0,68.26470959316217
undergrad,electrical,0,192,1,0,0,0,0,1,52.913375341540046
undergrad,mechanical,265,52,1,0,0,0,1,0,40.17305463563128
undergrad,civil,215,175,1,0,0,1,0,0,52.44471546350243
undergrad,electrical,107,48,1,0,0,0,0,1,44.83792710819497
undergrad,mechanical,102,150,1,0,0,0,1,0,75.13133033929681
undergrad,civil,128,131,1,0,0,1,0,0,67.00089559562768
undergrad,electrical,218,397,1,0,0,0,0,1,40.79587165670568
undergrad,mechanical,165,268,1,0,0,0,1,0,44.605769495507815
undergrad,civil,65,301,1,0,0,1,0,0,53.99928424505514
undergrad,electrical,189,188,1,0,0,0,0,1,37.27237334702268
undergrad,mechanical,188,129,1,0,0,0,1,0,53.08581813062689
undergrad,civil,183,34,1,0,0,1,0,0,59.34563960395013
undergrad,electrical,207,72,1,0,0,0,0,1,55.631412374752344
undergrad,mechanical,15,196,1,0,0,0,1,0,54.01034305066533
undergrad,civil,29,68,1,0,0,1,0,0,67.60209084050743
undergrad,electrical,58,335,1,0,0,0,0,1,19.34153105194615
undergrad,mechanical,207,373,1,0,0,0,1,0,28.41496951770796
undergrad,civil,172,329,1,0,0,1,0,0,91.64439821966022
undergrad,electrical,231,374,1,0,0,0,0,1,35.302023629347865
undergrad,mechanical,71,114,1,0,0,0,1,0,60.05272022808344
undergrad,civil,42,252,1,0,0,1,0,0,41.753570039344304
undergrad,electrical,91,242,1,0,0,0,0,1,39.423468447718385
undergrad,mechanical,16,303,1,0,0,0,1,0,46.795595778632375
undergrad,civil,235,314,1,0,0,1,0,0,47.58622015765111
undergrad,electrical,299,319,1,0,0,0,0,1,37.59881544722792
undergrad,mechanical,4,261,1,0,0,0,1,0,46.63257819950387
undergrad,civil,5,115,1,0,0,1,0,0,60.5245562134022
undergrad,electrical,225,239,1,0,0,0,0,1,50.15136021359618
undergrad,mechanical,165,94,1,0,0,0,1,0,39.70131698168315
undergrad,civil,15,108,1,0,0,1,0,0,75.43807077002073
undergrad,electrical,18,88,1,0,0,0,0,1,37.4424276482153
undergrad,mechanical,192,56,1,0,0,0,1,0,71.36769432939178
undergrad,civil,92,179,1,0,0,1,0,0,53.00786456083007
undergrad,electrical,245,2,1,0,0,0,0,1,58.29329948557847
undergrad,mechanical,277,75,1,0,0,0,1,0,96.54102105282189
undergrad,civil,220,354,1,0,0,1,0,0,50.285449871539726
undergrad,electrical,289,170,1,0,0,0,0,1,52.712930657297605
undergrad,mechanical,269,335,1,0,0,0,1,0,54.90317471968601
undergrad,civil,250,250,1,0,0,1,0,0,76.95089368786824
undergrad,electrical,3,34,1,0,0,0,0,1,84.84753739340604
undergrad,mechanical,116,354,1,0,0,0,1,0,47.033173380988046
undergrad,civil,3,191,1,0,0,1,0,0,52.79579050728064
undergrad,electrical,276,188,1,0,0,0,0,1,34.89478233353202
undergrad,mechanical,166,179,1,0,0,0,1,0,36.16145006238196
undergrad,civil,167,364,1,0,0,1,0,0,45.8639629018832
undergrad,electrical,94,399,1,0,0,0,0,1,26.17230138901371
undergrad,mechanical,31,99,1,0,0,0,1,0,62.95447496816301
undergrad,civil,208,216,1,0,0,1,0,0,63.762277705635015
undergrad,electrical,80,198,1,0,0,0,0,1,46.47841397510916
undergrad,mechanical,277,165,1,0,0,0,1,0,48.12930937494997
undergrad,civil,56,138,1,0,0,1,0,0,46.27689919871213
undergrad,electrical,37,348,1,0,0,0,0,1,36.945273665205065
undergrad,mechanical,179,85,1,0,0,0,1,0,66.33983727331199
undergrad,civil,204,159,1,0,0,1,0,0,61.25215853922583
undergrad,electrical,116,321,1,0,0,0,0,1,70.56511904249483
undergrad,mechanical,21,361,1,0,0,0,1,0,43.741257328950354
undergrad,civil,79,14,1,0,0,1,0,0,66.73948168895495
undergrad,electrical,286,305,1,0,0,0,0,1,57.59213789589572
undergrad,mechanical,194,191,1,0,0,0,1,0,46.42406336733253
undergrad,civil,110,298,1,0,0,1,0,0,53.409212037307164
undergrad,electrical,205,96,1,0,0,0,0,1,41.20835325979045
undergrad,mechanical,218,150,1,0,0,0,1,0,43.94960249706191
undergrad,civil,175,89,1,0,0,1,0,0,41.712244545276135
undergrad,electrical,226,284,1,0,0,0,0,1,36.63249925459556
undergrad,mechanical,241,26,1,0,0,0,1,0,59.15971318566861
undergrad,civil,293,19,1,0,0,1,0,0,70.81047293398262
undergrad,electrical,266,201,1,0,0,0,0,1,26.786573107978306
undergrad,mechanical,201,161,1,0,0,0,1,0,65.02485714217893
undergrad,civil,25,361,1,0,0,1,0,0,56.875457057545205
undergrad,electrical,71,317,1,0,0,0,0,1,40.992745507077785
undergrad,mechanical,27,97,1,0,0,0,1,0,65.69584730674346
undergrad,civil,195,203,1,0,0,1,0,0,63.00723222570495
undergrad,electrical,261,117,1,0,0,0,0,1,56.29723728757024
undergrad,mechanical,260,117,1,0,0,0,1,0,49.03736262097116
undergrad,civil,269,100,1,0,0,1,0,0,21.98313920780735
undergrad,electrical,228,260,1,0,0,0,0,1,69.05461568764868
undergrad,mechanical,233,394,1,0,0,0,1,0,59.37618960964541
undergrad,civil,182,203,1,0,0,1,0,0,47.72186463787683
undergrad,electrical,244,151,1,0,0,0,0,1,55.330384831287255
undergrad,mechanical,242,250,1,0,0,0,1,0,57.36587779209576
undergrad,civil,215,233,1,0,0,1,0,0,88.55764991896743
undergrad,electrical,147,313,1,0,0,0,0,1,36.04498789741973
undergrad,mechanical,126,183,1,0,0,0,1,0,71.33191939467105
undergrad,civil,245,199,1,0,0,1,0,0,68.40928528297711
undergrad,electrical,210,376,1,0,0,0,0,1,37.641933507329725
undergrad,mechanical,11,283,1,0,0,0,1,0,73.6573666489169
undergrad,civil,118,390,1,0,0,1,0,0,37.082417080818544
undergrad,electrical,263,356,1,0,0,0,0,1,44.35124331622156
undergrad,mechanical,187,184,1,0,0,0,1,0,41.23840311265327
undergrad,civil,131,239,1,0,0,1,0,0,39.48991628087567
undergrad,electrical,267,275,1,0,0,0,0,1,46.02535760764782
undergrad,mechanical,213,47,1,0,0,0,1,0,55.05650935733672
undergrad,civil,195,361,1,0,0,1,0,0,48.042059403438266
undergrad,electrical,271,117,1,0,0,0,0,1,58.2081183427257
undergrad,mechanical,94,108,1,0,0,0,1,0,78.00434788434346
undergrad,civil,102,60,1,0,0,1,0,0,38.51956019129423
undergrad,electrical,234,306,1,0,0,0,0,1,63.605396929294955
undergrad,mechanical,47,98,1,0,0,0,1,0,63.84534377122509
undergrad,civil,182,71,1,0,0,1,0,0,52.82696345548207
undergrad,electrical,245,142,1,0,0,0,0,1,31.923138140640305
undergrad,mechanical,289,184,1,0,0,0,1,0,73.44984974089378
undergrad,civil,199,194,1,0,0,1,0,0,39.34485845577125
undergrad,electrical,284,328,1,0,0,0,0,1,43.442111068853826
undergrad,mechanical,48,225,1,0,0,0,1,0,50.48100490201711
undergrad,civil,138,104,1,0,0,1,0,0,49.068105337487324
undergrad,electrical,262,114,1,0,0,0,0,1,41.8037676629409
undergrad,mechanical,67,229,1,0,0,0,1,0,24.741966062194656
undergrad,civil,153,282,1,0,0,1,0,0,64.74836776522568
undergrad,electrical,290,250,1,0,0,0,0,1,46.458478674728624
undergrad,mechanical,76,228,1,0,0,0,1,0,53.02504149470789
undergrad,civil,4,383,1,0,0,1,0,0,45.050746821186394
undergrad,electrical,263,9,1,0,0,0,0,1,55.67254687054858
undergrad,mechanical,259,372,1,0,0,0,1,0,52.31323364949971
undergrad,civil,70,350,1,0,0,1,0,0,54.070479956222506
undergrad,electrical,184,301,1,0,0,0,0,1,37.03949412731933
undergrad,mechanical,98,331,1,0,0,0,1,0,40.47668835370085
undergrad,civil,131,32,1,0,0,1,0,0,64.63290155808312
undergrad,electrical,209,14,1,0,0,0,0,1,44.23906355536307
undergrad,mechanical,234,380,1,0,0,0,1,0,38.658178970858756
undergrad,civil,297,217,1,0,0,1,0,0,73.14997244178741
undergrad,electrical,282,56,1,0,0,0,0,1,74.35749806864425
